"course_id","title","category","level","avg_rating","total_enrollment","completion_rate","average_quiz_score"
"CRS001","MySQL untuk Backend Developer","SQL","intermediate",4.0,0,0,NULL
"CRS002","Excel untuk HR Analytics","Excel","beginner",4.0,237,32.07,71.29
"CRS003","Dashboard Interaktif dengan Power BI","Power BI","beginner",4.5,227,25.55,71.51
"CRS004","ETL Pipeline dengan Python","Data Engineering","intermediate",4.2,238,31.93,72.69
"CRS005","Advanced Formulas: INDEX MATCH XLOOKUP","Excel","beginner",4.1,222,31.53,71.99
"CRS006","Python Dasar untuk Analisis Data","Python","beginner",4.8,218,31.19,71.01
"CRS007","Web Scraping dengan Python","Python","intermediate",4.8,246,31.71,71.02
"CRS008","Excel Dashboard yang Profesional","Excel","beginner",4.0,223,36.32,70.20
"CRS009","Power BI Service & Publishing","Power BI","advanced",4.6,232,34.91,71.97
"CRS010","Python untuk Automasi Excel","Python","advanced",4.0,228,31.14,71.85
"CRS011","Deep Learning dengan TensorFlow","Python","beginner",4.8,232,37.50,72.68
"CRS012","Cloud Data Warehouse Fundamentals","Data Engineering","intermediate",4.6,235,31.49,71.50
"CRS013","SQL Lanjutan: Window Functions","SQL","advanced",4.3,215,32.56,71.25
"CRS014","Probabilitas untuk Data Science","Statistics","advanced",4.4,270,32.22,72.51
"CRS015","Python Data Pipeline End-to-End","Python","beginner",4.5,233,25.75,69.92
"CRS016","SQL untuk Business Intelligence","SQL","advanced",4.6,226,33.19,71.97
"CRS017","Power BI untuk Sales Analytics","Power BI","intermediate",4.7,219,29.22,70.80
"CRS018","Statistik Dasar untuk Data Analyst","Statistics","beginner",4.3,228,29.82,71.64
"CRS019","Modeling Data di Power BI","Power BI","intermediate",4.4,245,28.16,70.53
"CRS020","Belajar PostgreSQL dari Dasar","SQL","beginner",4.6,231,30.74,70.07
"CRS021","dbt untuk Analytics Engineer","Data Engineering","intermediate",4.9,223,30.04,71.07
"CRS022","ANOVA & Chi-Square Test","Statistics","intermediate",4.5,212,30.19,70.12
"CRS023","Analytical SQL untuk Marketing","SQL","beginner",4.7,238,34.03,72.23
"CRS024","SQL Joins & Subqueries dari Nol","SQL","intermediate",4.6,218,27.52,70.35
"CRS025","Python untuk Machine Learning","Python","beginner",4.3,229,27.95,71.48
"CRS026","Query Optimization untuk Database Besar","SQL","beginner",4.6,227,25.55,71.27
"CRS027","Time Series Analysis dengan Python","Python","intermediate",4.7,250,31.60,71.26
"CRS028","Visualisasi Data dengan Matplotlib","Python","advanced",4.3,232,37.93,71.97
"CRS029","Bayesian Statistics Praktis","Statistics","advanced",4.4,248,27.82,71.40
"CRS030","Power BI Advanced: Calculated Tables","Power BI","beginner",4.4,243,35.39,72.13
"CRS031","SQL untuk Data Analyst Pemula","SQL","intermediate",4.5,231,31.60,71.86
"CRS032","Power BI untuk Pemula","Power BI","intermediate",4.2,0,0,NULL
"CRS033","VBA Macro untuk Automasi","Excel","advanced",4.3,213,26.76,70.75
"CRS034","Excel untuk Pemula Banget","Excel","intermediate",4.9,234,25.21,67.03
"CRS035","Pengenalan Data Engineering","Data Engineering","intermediate",4.0,203,30.05,71.22
"CRS036","Regresi Linear & Logistik","Statistics","intermediate",4.3,225,28.89,71.09
"CRS037","SQL Project: Build Data Warehouse","SQL","beginner",4.8,217,31.80,68.12
"CRS038","DAX Fundamentals","Power BI","beginner",4.7,242,33.88,72.46
"CRS039","Apache Airflow untuk Pemula","Data Engineering","advanced",4.0,0,0,NULL
"CRS040","Statistical Inference dari Nol","Statistics","beginner",4.7,251,27.09,70.43
"CRS041","Power Query untuk Data Cleaning","Excel","beginner",4.7,218,30.28,70.88
"CRS042","Excel untuk Finance Analyst","Excel","intermediate",4.3,246,32.93,71.80
"CRS043","Hypothesis Testing dengan Praktik","Statistics","advanced",4.5,0,0,NULL
"CRS044","SQL Server: Stored Procedures","SQL","intermediate",4.2,226,33.19,71.81
"CRS045","Pandas & NumPy: Data Wrangling","Python","intermediate",4.2,230,26.96,67.23
"CRS046","Pivot Table & Power Pivot","Excel","beginner",4.3,226,26.55,67.77
"CRS047","Data Modeling: Star & Snowflake","Data Engineering","intermediate",4.3,242,33.47,71.75
"CRS048","Scikit-learn dari Nol","Python","beginner",4.1,236,28.81,70.47
"CRS049","Power Query M Language","Power BI","intermediate",4.7,0,0,NULL
"CRS050","A/B Testing untuk Product Manager","Statistics","beginner",4.2,215,28.37,70.07
